Customer Id,Age,Edu,Years Employed,Income,Card Debt,Other Debt,Defaulted,Address,DebtIncomeRatio
1,41,2,6,19000,124,1073,0,NBA001,6.3
2,47,1,26,100000,4172.5,4172.5,0,NBA021,12.8
3,33,2,10,57000,4172.5,4172.5,1,NBA013,20.9
4,29,2,4,19000,681,516,0,NBA009,6.3
5,47,1,31,103375,4172.5,4172.5,0,NBA008,7.2
6,40,1,23,81000,998,4172.5,,NBA016,10.9
7,38,2,4,56000,442,454,0,NBA013,1.6
8,42,3,0,64000,279,3945,0,NBA009,6.6
9,26,1,5,18000,575,2215,,NBA006,15.5
10,47,3,23,103375,653,3947,0,NBA011,4
11,44,3,8,88000,285,4172.5,1,NBA010,6.1
12,34,2,9,40000,374,266,,NBA003,1.6
13,24,1,7,18000,526,643,0,NBA000,6.5
14,46,1,6,30000,1415,3865,,NBA019,17.6
15,28,3,2,20000,233,1647,1,NBA000,9.4
16,24,1,1,16000,185,1287,,NBA005,9.2
17,29,1,1,17000,132,293,0,NBA004,2.5
18,43,3.5,1,26000,1519,1237,0,NBA005,10.6
19,44,1,18,61000,2806,3782,,NBA000,10.8
20,36,1,16,32000,544,2944,,NBA013,10.9
21,29,2,6,25000,585,465,0,NBA009,4.2
22,36,3,10,43000,961,4172.5,0,NBA004,13
23,28,3,6,47000,4172.5,3732,1,NBA008,19.8
24,45,1,19,77000,2303,4165,0,NBA022,8.4
25,37,3.5,10,103375,3022,4172.5,0,NBA018,17.3
26,43,1,9,66000,2341,3467,,NBA008,8.8
27,24,1,4,21000,99,447,0,NBA002,2.6
28,37,1,19,38000,2591,2539,,NBA007,13.5
29,38,2,13,59000,408,1008,0,NBA000,2.4
30,34,2,9,45000,1118,3427,0,NBA013,10.1
31,40,3,18,100000,1485,1015,0,NBA006,2.5
32,42,2,12,55000,2533,4172.5,0,NBA009,15
33,23,2,0,42000,1019,619,1,NBA001,3.9
34,40,3,5,28000,1263,1537,,NBA018,10
35,28,1,12,45000,1854,1611,0,NBA007,7.7
36,33,2,5,37000,1029,2079,,NBA002,8.4
37,35,3,5,37000,581,1417,1,NBA003,5.4
38,37,1,0,18000,1584,738,1,NBA018,12.9
39,22,1,1,18000,270,522,0,NBA000,4.4
40,39,3,16,103375,1405,4172.5,,NBA010,6.8
41,20,1,4,14000,201,1157,1,NBA000,9.7
42,48,3,17,103375,3376,4172.5,0,NBA026,12
43,28,2,5,34000,3099,4172.5,0,NBA009,23.8
44,37,3.5,9,103375,888,4172.5,0,NBA016,5.9
45,48,1,3,27000,1403,4172.5,0,NBA011,21.3
46,45,3,9,84000,1276,4172.5,,NBA000,13.1
47,22,1,4,14000,225,2225,0,NBA003,17.5
48,30,1,4,21000,229,506,,NBA002,3.5
49,28,1,3,19000,261,518,0,NBA007,4.1
50,29,2,10,61000,798,2984,,NBA003,6.2
51,47,1,22,81000,1506,2949,0,NBA019,5.5
52,36,1,11,33000,1266,4172.5,0,NBA002,26.85
53,24,1,3,19000,1358,3278,1,NBA004,24.4
54,56,1,19,66000,847,1331,,NBA026,3.3
55,29,3,5,70000,3176,4172.5,1,NBA006,19.9
56,34,1,2,25000,573,2577,1,NBA011,12.6
57,32,1,1,20000,315,645,1,NBA000,4.8
58,27,3,2,26000,722,838,0,NBA007,6
59,40,1,9,64000,790,3434,0,NBA004,6.6
